name,price,tax,image_url,tags
CORN,298,¥298（8%tax）,https://www.national-azabu.net/upload/save_image/0607133157_629ed4bd3cb1b.jpeg,PERISHABLE 冷蔵
YUZU CITRON,358,¥358（8%tax）,https://www.national-azabu.net/upload/save_image/1227165628_5fe83e2c165a4.jpeg,PERISHABLE 冷蔵
BROCCOLI,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/18_s.jpg,PERISHABLE 冷蔵
CUCUMBER 1PC,128,¥128（8%tax）,https://www.national-azabu.net/upload/save_image/230051000000_s.jpg,PERISHABLE 冷蔵
CUCUMBERS 4PCS,498,¥498（8%tax）,https://www.national-azabu.net/upload/save_image/2_s.jpg,PERISHABLE 冷蔵
CARROT 1PC,138,¥138（8%tax）,https://www.national-azabu.net/upload/save_image/230034000000_s.jpg,PERISHABLE 冷蔵
CARROTS 3PCS,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/16_s.jpg,PERISHABLE 冷蔵
ORGANIC CARROTS BIG PACK  1KG,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/4562340400330_s.jpg,PERISHABLE 冷蔵ORGANIC
CELERY  2PC,298,¥298（8%tax）,https://www.national-azabu.net/upload/save_image/0614130318_666bc1067ab22.jpeg,PERISHABLE 冷蔵
BABY TOMATOES,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/1005141038_5f7aaace47205.jpeg,PERISHABLE 冷蔵
BABY TOMATOES LARGE PACK,698,¥698（8%tax）,https://www.national-azabu.net/upload/save_image/9_s.jpg,PERISHABLE 冷蔵
ORGANIC TOMATOES 1 BOX,"1,280","¥1,280（8%tax）",https://www.national-azabu.net/upload/save_image/0805181050_66b0971ae2497.jpeg,PERISHABLE 冷蔵ORGANIC
TOMATOES M 4PCS,698,¥698（8%tax）,https://www.national-azabu.net/upload/save_image/0108094353_659b454902ebd.jpeg,PERISHABLE 冷蔵
KABOCHA 1/4,480,¥480（8%tax）,https://www.national-azabu.net/upload/save_image/230327000000_s.jpg,PERISHABLE 冷蔵
CAULIFLOWER,598,¥598（8%tax）,https://www.national-azabu.net/upload/save_image/0712124427_5f0a871b576b4.jpeg,PERISHABLE 冷蔵
CHINESE CABBAGE 1/4 CUT,198,¥198（8%tax）,https://www.national-azabu.net/upload/save_image/230178000000_s.jpg,PERISHABLE 冷蔵
SHUNGIKU,298,¥298（8%tax）,https://www.national-azabu.net/upload/save_image/4908210326018_s.jpg,PERISHABLE 冷蔵
DAIKON,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/230183000000_s.jpg,PERISHABLE 冷蔵
DAIKON 1/2 CUT,218,¥218（8%tax）,https://www.national-azabu.net/upload/save_image/0621155352_5eef04001b1a6.jpeg,PERISHABLE 冷蔵
CABBAGE,298,¥298（8%tax）,https://www.national-azabu.net/upload/save_image/230030000000_s.jpg,PERISHABLE 冷蔵
CABBAGE 1/2 CUT,158,¥158（8%tax）,https://www.national-azabu.net/upload/save_image/0621155204_5eef03946e895.jpeg,PERISHABLE 冷蔵
ICEBERG LETTUCE,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/0712124458_5f0a873ad6e71.jpeg,PERISHABLE 冷蔵
