Property Name,Rent,Management Fee,Deposit,Key Money,Floor Plan,Area Size,Direction,Building Age,Address,Station Info,Agency Name,Agency Phone,Property URL
クラッシィハウス大手町,32万円,管理費 15000円,敷32万円,礼32万円,2LDK,54.13m2,東,,,"
東京メトロ半蔵門線/大手町駅 歩4分
東京メトロ丸ノ内線/淡路町駅 歩6分
ＪＲ中央線/神田駅 歩8分
",,(株)プライムコーポレーション都心営業部,https://suumo.jp/chintai/bc_100400768898/
ライオンズフォーシア神田須田町,23万円,管理費 20000円,敷23万円,礼-,2LDK,45.57m2,南,,,"
ＪＲ山手線/秋葉原駅 歩5分
東京メトロ銀座線/神田駅 歩6分
都営新宿線/岩本町駅 歩6分
",,(株)ユウキ・ホーム麻布十番網代公園店,https://suumo.jp/chintai/bc_100335153441/
ライオンズフォーシア神田須田町,23万円,管理費 20000円,敷23万円,礼-,2LDK,45.57m2,南,,,"
ＪＲ山手線/秋葉原駅 歩5分
東京メトロ銀座線/神田駅 歩6分
都営新宿線/岩本町駅 歩6分
",,(株)ユウキ・ホーム麻布十番サテライト店,https://suumo.jp/chintai/bc_100335153437/
ライオンズフォーシア神田須田町,23万円,管理費 20000円,敷23万円,礼-,2LDK,45.57m2,南,,,"
ＪＲ山手線/秋葉原駅 歩5分
東京メトロ銀座線/神田駅 歩6分
都営新宿線/岩本町駅 歩6分
",,(株)ユウキ・ホーム麻布十番店,https://suumo.jp/chintai/bc_100335153675/
ライオンズフォーシア神田須田町,23万円,管理費 20000円,敷23万円,礼-,2LDK,45.57m2,南,,,"
ＪＲ山手線/秋葉原駅 歩5分
東京メトロ銀座線/神田駅 歩6分
都営新宿線/岩本町駅 歩6分
",,そらうみリアルエステート(株)本店,https://suumo.jp/chintai/bc_100335156273/
ライオンズフォーシア神田須田町,23万円,管理費 20000円,敷23万円,礼-,2LDK,45.57m2,南,,,"
ＪＲ山手線/秋葉原駅 歩5分
東京メトロ銀座線/神田駅 歩6分
都営新宿線/岩本町駅 歩6分
",,そらうみリアルエステート(株)賃貸事業本部,https://suumo.jp/chintai/bc_100335154256/
パークアクシス神田レジデンス,27.1万円,管理費 15000円,敷27.1万円,礼-,2LDK,44.66m2,東,,,"
都営新宿線/小川町駅 歩3分
ＪＲ山手線/神田駅 歩8分
東京メトロ丸ノ内線/淡路町駅 歩4分
",,アエラス御茶ノ水店 (株)アエラス,https://suumo.jp/chintai/bc_100400799131/
ブリックコート神田錦町 1002号室,22.5万円,管理費 -,敷22.5万円,礼45万円,1LDK,43.48m2,西,,,"
東京メトロ半蔵門線/神保町駅 歩3分
東京メトロ東西線/竹橋駅 歩6分
東京メトロ千代田線/新御茶ノ水駅 歩6分
",,グランデ上野店 (株)グランデ,https://suumo.jp/chintai/bc_100400796329/
ブリックコート神田錦町 1002号室,22.5万円,管理費 -,敷22.5万円,礼45万円,1LDK,43.48m2,西,,,"
東京メトロ半蔵門線/神保町駅 歩3分
東京メトロ東西線/竹橋駅 歩6分
東京メトロ千代田線/新御茶ノ水駅 歩6分
",,グランデ日本橋店 (株)グランデ,https://suumo.jp/chintai/bc_100400798236/
ヴィークグレイス三番町,29.7万円,管理費 -,敷29.7万円,礼29.7万円,2LDK,57.05m2,南,,,"
ＪＲ中央線/市ケ谷駅 歩8分
東京メトロ東西線/九段下駅 歩9分
東京メトロ半蔵門線/半蔵門駅 歩9分
",,アエラス新橋店 (株)アエラス.ER,https://suumo.jp/chintai/bc_100400763759/
ヴィークグレイス三番町,29.7万円,管理費 -,敷29.7万円,礼29.7万円,2LDK,57.05m2,南,,,"
ＪＲ中央線/市ケ谷駅 歩8分
東京メトロ東西線/九段下駅 歩9分
東京メトロ半蔵門線/半蔵門駅 歩9分
",,ソレイユ神田店 (株)ソレイユ,https://suumo.jp/chintai/bc_100400762199/
フェリーチェお茶の水,24.5万円,管理費 15000円,敷24.5万円,礼-,2DK,60.82m2,南西,,,"
都営新宿線/神保町駅 歩5分
ＪＲ中央線/御茶ノ水駅 歩9分
ＪＲ中央線/水道橋駅 歩10分
",,アエラス御茶ノ水店 (株)アエラス,https://suumo.jp/chintai/bc_100400828720/
